query,page,clicks,impressions,ctr,position
dispensador de numeros de atencion,https://districomp.com.uy/papeleria-y-oficina/maquinas-de-oficina/dispensador-de-numeros/1,6,18,0.3333333333333333,4.444444444444445
hojas a4 fanacopy,https://districomp.com.uy/p/papel-fanacopy-a4-comun-75g-x500-hojas/258/258,6,139,0.04316546762589928,2.6258992805755397
papel opalina,https://districomp.com.uy/p/papel-opalina-cartulina-blanca-a4-180-grs-x125-hojas/155/155,6,880,0.006818181818181818,23.479545454545455
sillas de escritorio divino,https://districomp.com.uy/mobiliario-y-equipamiento/mobiliario/sillas/1,6,374,0.016042780748663103,7.331550802139038
ssd 500gb,https://districomp.com.uy/p/disco-solido-interno-ssd-kingston-500gb-nvme/5203/5199,6,165,0.03636363636363636,3.6787878787878787
yerba activa la selva,https://districomp.com.uy/p/yerba-la-selva-activa-1kg/1674/1674,6,143,0.04195804195804196,3.300699300699301
yerba en forma,https://districomp.com.uy/p/yerba-la-selva-en-forma-1kg/1682/1682,6,74,0.08108108108108109,2.864864864864865
agua cascada 20 litros precio,https://districomp.com.uy/p/agua-salus-sin-gas-bidon-20-lts/1606/1606,5,200,0.025,6.415
cartuchos hp 2775,https://districomp.com.uy/p/cartucho-original-hp-667-negro-2375-2775-2776-2375/2334/2334,5,311,0.01607717041800643,7.254019292604502
distri com,https://districomp.com.uy/,5,13,0.38461538461538464,3.076923076923077
goma eva dorada,https://districomp.com.uy/p/goma-eva-dorada-con-brillantina-lamina-60x45cm-/164/164,5,455,0.01098901098901099,3.643956043956044
guillotina para papel,https://districomp.com.uy/p/guillotina-para-papel-a4-con-ajuste-y-guia/741/741,5,315,0.015873015873015872,27.33015873015873
hojas opalina,https://districomp.com.uy/p/papel-opalina-cartulina-blanca-a4-180-grs-x125-hojas/155/155,5,292,0.017123287671232876,22.246575342465754
impresora tinta continua,https://districomp.com.uy/impresoras-y-cartuchos/impresoras-y-multifuncion/impresoras-sistema-continuo/1,5,314,0.01592356687898089,10.840764331210192
impresoras,https://districomp.com.uy/impresoras-y-cartuchos/impresoras-y-multifuncion/1,5,767,0.00651890482398957,11.342894393741851
insumos computacion,https://districomp.com.uy/,5,69,0.07246376811594203,8.08695652173913
ip326,https://districomp.com.uy/p/papel-toalla-zig-zag-21x20-cm-x350-elite-ip326/6527/6523,5,6,0.8333333333333334,1.0
rotafolio,https://districomp.com.uy/papeleria-y-oficina/presentacion/rotafolio/1,5,393,0.01272264631043257,11.521628498727736
silla de escritorio,https://districomp.com.uy/p/silla-ejecutiva-de-escritorio-donna-mesh-negra/4064/4064,5,487,0.01026694045174538,10.336755646817249
sillas escritorio,https://districomp.com.uy/mobiliario-y-equipamiento/mobiliario/sillas/1,5,34,0.14705882352941177,29.529411764705884
sobre farmacia,https://districomp.com.uy/p/sobre-de-farmacia-1b-5-x-8-2cm-x1000/393/393,5,22,0.22727272727272727,2.0454545454545454
toner brother hl 1212w,https://districomp.com.uy/p/toner-compatible-brother-tn-1060-hl-1110-1112-ameriprint/2856/2856,5,163,0.03067484662576687,32.65644171779141
vasos descartables montevideo,https://districomp.com.uy/p/vasos-plasticos-descartables-blancos-200ml-x100/1562/1562,5,81,0.06172839506172839,6.345679012345679
a toda tinta,https://districomp.com.uy/,4,133,0.03007518796992481,8.496240601503759
agua salus precio,https://districomp.com.uy/p/agua-salus-sin-gas-bidon-20-lts/1606/1606,4,197,0.02030456852791878,7.817258883248731
bidon salus 20 litros precio,https://districomp.com.uy/p/agua-salus-sin-gas-bidon-20-lts/1606/1606,4,17,0.23529411764705882,1.0588235294117647
calculadora científica casio,https://districomp.com.uy/p/calculadora-cientifica-casio-fx-82ms/723/723,4,166,0.024096385542168676,5.765060240963855
cartuchos para impresora hp 2775,https://districomp.com.uy/p/cartucho-original-hp-667-negro-2375-2775-2776-2375/2334/2334,4,147,0.027210884353741496,8.034013605442176
cif pisos 4 en 1,https://districomp.com.uy/p/limpiador-cif-pisos-4-en-1-lavanda-y-orquideas-750ml-/1757/1757,4,45,0.08888888888888889,10.044444444444444
diatricomp,https://districomp.com.uy/,4,52,0.07692307692307693,1.5
dispensador de toallas de papel,https://districomp.com.uy/p/dispensador-toalla-de-papel-auto-corte-cocina-bano/5036/5036,4,77,0.05194805194805195,5.285714285714286
disticom,https://districomp.com.uy/,4,59,0.06779661016949153,6.322033898305085
distri comp,https://districomp.com.uy/,4,30,0.13333333333333333,1.2666666666666666
impresoras tinta continua uruguay,https://districomp.com.uy/impresoras-y-cartuchos/impresoras-y-multifuncion/impresoras-sistema-continuo/1,4,56,0.07142857142857142,7.696428571428571
insumos de informatica,https://districomp.com.uy/,4,41,0.0975609756097561,13.463414634146341
insumos para impresoras,https://districomp.com.uy/,4,43,0.09302325581395349,7.883720930232558
notas autoadhesivas transparentes,https://districomp.com.uy/p/notas-adhesivas-75-x-75mm-transparentes-keep/5991/5987,4,15,0.26666666666666666,8.533333333333333
panchrome,https://districomp.com.uy/p/carpeta-con-elastico-comun-oficio-azul-panchrome/4019/4019,4,12,0.3333333333333333,2.666666666666667
papel contact,https://districomp.com.uy/p/rollo-de-papel-contact-autoadhesivo-transparente-0-45-x-1-mt/762/762,4,1825,0.002191780821917808,16.11068493150685
papel kraft,https://districomp.com.uy/papeleria-y-oficina/empaque/papel-kraft/1,4,457,0.0087527352297593,12.168490153172867
pizarron blanco,https://districomp.com.uy/p/pizarron-blanco-magnetico-240x120cm-marco-de-aluminio/4875/4875,4,142,0.028169014084507043,8.119718309859156
plastificadora a4,https://districomp.com.uy/,4,9,0.4444444444444444,2.2222222222222223
rotola descargar,https://districomp.com.uy/p/etiquetas-imprimibles-rotola-a4-27-270-unidades-63-x-31-mm/375/375,4,76,0.05263157894736842,3.526315789473684
salus dispensadores,https://districomp.com.uy/p/dispensador-de-agua-salus-de-mesa-/3864/3864,4,70,0.05714285714285714,4.628571428571428
sillas de oficina,https://districomp.com.uy/mobiliario-y-equipamiento/mobiliario/sillas/1,4,124,0.03225806451612903,28.274193548387096
sistema continuo,https://districomp.com.uy/impresoras-y-cartuchos/impresoras-y-multifuncion/impresoras-sistema-continuo/1,4,1091,0.0036663611365719525,12.433547204399634
tn 1060,https://districomp.com.uy/p/toner-compatible-brother-tn-1060-hl-1110-1112-ameriprint/2856/2856,4,123,0.032520325203252036,48.34146341463415
toner para brother hl 1200,https://districomp.com.uy/p/impresora-laser-brother-hl-1200-monocromatica-toner-incluido/3695/3695,4,74,0.05405405405405406,11.364864864864865
vasos termicos,https://districomp.com.uy/p/vasos-termicos-descartables-blancos-300ml-x20/1585/1585,4,1215,0.0032921810699588477,7.385185185185185
aire comprimido manhattan,https://districomp.com.uy/p/spray-de-limpieza-aire-comprimido-400ml-manhattan/3416/3416,3,21,0.14285714285714285,7.190476190476191
banderitas autoadhesivas,https://districomp.com.uy/papeleria-y-oficina/utiles-de-oficina/banderitas-autoadhesivas/1,3,61,0.04918032786885246,6.786885245901639
bidones de agua 20 litros,https://districomp.com.uy/p/agua-salus-sin-gas-bidon-20-lts/1606/1606,3,35,0.08571428571428572,7.228571428571429
bidón de agua salus precio,https://districomp.com.uy/p/agua-salus-sin-gas-bidon-20-lts/1606/1606,3,101,0.0297029702970297,6.485148514851486
blem electronicos,https://districomp.com.uy/p/limpiador-electronicos-aerosol-235ml-blem/1338/1338,3,109,0.027522935779816515,22.889908256880734
brother 1617,https://districomp.com.uy/p/impresora-multifuncion-laser-brother-dcp-1617-monocromatica-toner-incluido-/4950/4950,3,234,0.01282051282051282,57.27777777777778
brother dcp t420w,https://districomp.com.uy/p/impresora-multifuncion-brother-dcp-t420w-sistema-continuo-wifi-tinta-incluidas/3961/3961,3,531,0.005649717514124294,24.397363465160076
brother t420,https://districomp.com.uy/p/impresora-multifuncion-brother-dcp-t420w-sistema-continuo-wifi-tinta-incluidas/3961/3961,3,98,0.030612244897959183,9.816326530612244
brother t820dw,https://districomp.com.uy/p/impresora-multifuncion-brother-dcp-t820dw-sistema-continuo-wifi-doble-faz-tinta-incluidas/5272/5268,3,37,0.08108108108108109,9.837837837837839
caja de lapiceras,https://districomp.com.uy/p/lapicera-cristal-azul-caja-x-50-bic/424/424,3,94,0.031914893617021274,7.202127659574468
calculadora con rollo,https://districomp.com.uy/p/calculadora-casio-hr-150rc-con-rollo/736/736,3,42,0.07142857142857142,14.261904761904763
calculadoras con rollo de papel,https://districomp.com.uy/p/calculadora-casio-hr-150rc-con-rollo/736/736,3,48,0.0625,12.4375
carpetas,https://districomp.com.uy/papeleria-y-oficina/carpetas/1,3,1010,0.0029702970297029703,8.396039603960396
cartuchos compatibles hp 2775,https://districomp.com.uy/p/cartucho-original-hp-667-negro-2375-2775-2776-2375/2334/2334,3,70,0.04285714285714286,5.114285714285714
cartuchos hp 667,https://districomp.com.uy/p/cartucho-original-hp-667-negro-2375-2775-2776-2375/2334/2334,3,156,0.019230769230769232,14.185897435897436
cartuchos para impresora hp,https://districomp.com.uy/p/cartucho-original-hp-667-negro-2375-2775-2776-2375/2334/2334,3,453,0.006622516556291391,7.3841059602649
cartuchos para impresora hp 2375,https://districomp.com.uy/p/cartucho-original-hp-667-negro-2375-2775-2776-2375/2334/2334,3,90,0.03333333333333333,10.333333333333334
cartulina opalina,https://districomp.com.uy/p/papel-opalina-cartulina-blanca-a4-180-grs-x125-hojas/155/155,3,121,0.024793388429752067,56.86776859504132
dispensador de agua,https://districomp.com.uy/p/dispensador-de-agua-salus-de-mesa-/3864/3864,3,1090,0.0027522935779816515,6.101834862385321
dispensadores de agua salus,https://districomp.com.uy/p/dispensador-de-agua-salus-de-mesa-/3864/3864,3,48,0.0625,4.25
encuadernadora,https://districomp.com.uy/p/encuadernadora-gbc-proclick-32925-kit-de-encuadernacion-/717/717,3,41,0.07317073170731707,14.146341463414634
florete rayado,https://districomp.com.uy/p/librillo-de-papel-florete-rayado/182/182,3,17,0.17647058823529413,2.5882352941176467
grapas 24/8,https://districomp.com.uy/p/grapas-24-8-x1000-ret-lit/2432/2432,3,5,0.6,20.2
guillotina,https://districomp.com.uy/p/guillotina-para-papel-a4-con-ajuste-y-guia/741/741,3,647,0.00463678516228748,8.744976816074189
guillotina de papel,https://districomp.com.uy/p/guillotina-para-papel-a4-con-ajuste-y-guia/741/741,3,80,0.0375,11.525
hikvision m200s,https://districomp.com.uy/p/pendrive-2-0-32gb-hikvision-m200s/6381/6377,3,9,0.3333333333333333,6.0
hojas a4 precio uruguay,https://districomp.com.uy/p/papel-fanacopy-a4-comun-75g-x500-hojas/258/258,3,32,0.09375,9.9375
hojas fanacopy,https://districomp.com.uy/p/papel-fanacopy-a4-comun-75g-x500-hojas/258/258,3,76,0.039473684210526314,2.355263157894737
hp 2775 cartuchos,https://districomp.com.uy/p/cartucho-original-hp-667-negro-2375-2775-2776-2375/2334/2334,3,346,0.008670520231213872,9.846820809248555
hp 2775 cartuchos compatibles,https://districomp.com.uy/p/cartucho-original-hp-667-negro-2375-2775-2776-2375/2334/2334,3,138,0.021739130434782608,6.3478260869565215
hp 415 tinta,https://districomp.com.uy/p/tinta-para-impresora-hp-gt51-negro-315-318-410-415-original/2065/2065,3,19,0.15789473684210525,9.105263157894736
impresora canon g2010,https://districomp.com.uy/p/tinta-para-impresora-canon-gi-190-negro-g2010-2110-2800-3100-1100-original/2428/2428,3,112,0.026785714285714284,9.410714285714286
